Feature,Seed,Fold,RÂ²,MAE,MSE,RMSE,RSE
S_CS,0,1,0.5769881365079602,0.08152154765798732,0.013442127195625281,0.11594018800927175,0.6503936219644529
S_CS,0,2,0.7859580837216931,0.06959035343241693,0.00955278181145659,0.09773833337773152,0.46264664299906777
S_CS,0,3,0.8081588295042951,0.055751613562030594,0.005495760676755399,0.07413339784979102,0.4379967699603559
S_CS,1,1,0.8344643487070691,0.056357411102947334,0.006470222618337875,0.08043769401429826,0.4068607271449665
S_CS,1,2,0.6355878274027471,0.07042745297921488,0.012051104370732061,0.10977752215609561,0.6036656132307463
S_CS,1,3,0.736681303190857,0.07236739131239854,0.009504333455035445,0.09749017106885927,0.5131458825803273
S_CS,2,1,0.2832423513109409,0.07415062503046488,0.01605569482285332,0.1267110682728755,0.8466154077791516
S_CS,2,2,0.7787019476096764,0.06723299458805405,0.008694988503564278,0.09324692222033003,0.4704232693971713
S_CS,2,3,0.7896405486441638,0.07437238746321023,0.009483334336929793,0.09738241287280672,0.45864959539482447
S_CS,3,1,0.6928026403323033,0.06571925811078855,0.010347117429325687,0.10172078169836136,0.5542538765472882
S_CS,3,2,0.6838532388860089,0.07207468128995877,0.00890875107611034,0.09438618053566072,0.5622692959018757
S_CS,3,3,0.7745611213847008,0.07548046554531847,0.010513364294805538,0.10253469800416608,0.4748040423325176
S_CS,4,1,0.738646160611435,0.07501065681034379,0.010942400341497013,0.1046059288066265,0.5112277764251127
S_CS,4,2,0.6557852403600737,0.0752908880190024,0.012208906093131569,0.11049391880611154,0.5866981844525567
S_CS,4,3,0.6365758699355473,0.072869393303626,0.010748314908031917,0.1036740802130982,0.6028466886899627
S_CS,5,1,0.6428289055618636,0.08313463595679192,0.010328329641589874,0.10162838993898247,0.5976379292164583
S_CS,5,2,0.6438268759266612,0.0679744287789659,0.010749175725209349,0.10367823168442519,0.5968024162763911
S_CS,5,3,0.7577389588847507,0.07062741635593517,0.011871056985035522,0.10895438029301768,0.49220020430232375
S_CS,6,1,0.4852527041298377,0.08519895002199124,0.014685318835010196,0.12118299730164375,0.7174589158064469
S_CS,6,2,0.7376138426914289,0.06306149968989007,0.008794336705069827,0.09377812487499325,0.5122364271589547
S_CS,6,3,0.7206072794148497,0.07813200844695985,0.011515282440426546,0.10730928403650146,0.5285761256291758
S_CS,7,1,0.7030756294232361,0.08180340999612647,0.013584040905213856,0.11655059375744876,0.5449076716075522
S_CS,7,2,0.6892086839504996,0.06669735765727502,0.008897276174971495,0.09432537397207336,0.5574866061615296
S_CS,7,3,0.593916639180757,0.08001951943178315,0.01345485908693438,0.11599508216702284,0.6372467032627497
S_CS,8,1,0.644218215555949,0.07400574349306528,0.011031417711728848,0.10503055608597361,0.596474462524634
S_CS,8,2,0.709328500536924,0.07404991170067222,0.010924141770917741,0.10451861925474208,0.5391395918155854
S_CS,8,3,0.8113487840501186,0.0628220788229543,0.007305593200022235,0.0854727629132359,0.4343399773793352
S_CS,9,1,0.8044088023545966,0.057662112154801784,0.006909237252024429,0.08312182175592898,0.4422569362320997
S_CS,9,2,0.6491732969458059,0.07638365405593807,0.01259496042164458,0.11222727129198401,0.5923062578212339
S_CS,9,3,0.7242757737626986,0.0790770151904474,0.010197665451975504,0.10098349098726733,0.5250944926747008
S_CS,10,1,0.6663679735519004,0.07385274135749595,0.01217988842599321,0.11036253180311337,0.5776088870923816
S_CS,10,2,0.7242843874306405,0.07603625953122059,0.01278487196552728,0.11307020812542656,0.5250862905936123
S_CS,10,3,0.6668267791530011,0.0622247605459858,0.007839734644209966,0.08854227602795156,0.577211591053921
S_CS,11,1,0.5347193915868583,0.0816684860850747,0.012951687103745224,0.11380547923428477,0.6821148058891126
S_CS,11,2,0.7849705718318446,0.055954104367131295,0.006613856959144276,0.08132562301725253,0.4637126568988121
S_CS,11,3,0.6366868305265418,0.09437734477235758,0.017438283364394614,0.1320540925696535,0.6027546511421196
S_CS,12,1,0.67286109605445,0.06750703308711889,0.009546588152181994,0.09770664333699114,0.5719605790135803
S_CS,12,2,0.7353692016223699,0.07223295796249228,0.00861399982932116,0.09281163628188634,0.514422781744384
S_CS,12,3,0.6983901133399371,0.07871847431873909,0.013525169198626475,0.11629776093556778,0.549190209909156
S_CS,13,1,0.6628095580844895,0.08026435322426051,0.014652849272694743,0.12104895403387318,0.5806810156320856
S_CS,13,2,0.6937983021466441,0.07137477053603099,0.010691571628951577,0.10340005623282598,0.5533549474373171
S_CS,13,3,0.7029693634816421,0.06139968036308929,0.008327511515723467,0.09125519993799514,0.5450051710932273
S_CS,14,1,0.6497131699250847,0.08988294660782913,0.0182078006306475,0.13493628359580495,0.5918503443227142
S_CS,14,2,0.7157408559835257,0.06326696885862246,0.00674797698945667,0.08214607105307394,0.5331595858806952
S_CS,14,3,0.7701968540974828,0.06042564351669884,0.0073123382775630245,0.08551221127747209,0.4793778738140896
S_CS,15,1,0.824980497397272,0.06082738843036888,0.005971605774184976,0.07727616562812221,0.4183533226863724
S_CS,15,2,0.566817793740607,0.07542984173481697,0.013113959934747036,0.11451619944246769,0.6581657893414037
S_CS,15,3,0.7272630076299605,0.07576504232356095,0.011815332057205984,0.10869835351653669,0.5222422736336455
S_CS,16,1,0.6892042471865125,0.0736691344582746,0.011326681402002233,0.10642688289150554,0.5574905854034554
S_CS,16,2,0.6634990844332436,0.07021106125673211,0.011611801849259347,0.10775807092398855,0.58008698965479
S_CS,16,3,0.7150510281460692,0.0796383417929581,0.010502256800357185,0.10248051912611092,0.5338061182245205
S_CS,17,1,0.7118353501232373,0.06149920893511228,0.0094363394544163,0.09714082280079936,0.5368096961463743
S_CS,17,2,0.7582757719419322,0.0728005000063407,0.009996797134846818,0.09998398439173554,0.49165458205743173
S_CS,17,3,0.6571030229004085,0.07718996730142973,0.011444545263278066,0.10697918144797176,0.5855740577412831
S_CS,18,1,0.6571226694665331,0.0801211079261575,0.013912319800222079,0.11795049724448846,0.585557282025821
S_CS,18,2,0.7389196940985772,0.07175504069093916,0.010375487132882995,0.1018601351505239,0.5109601803481586
S_CS,18,3,0.7080061873871111,0.06536170652419278,0.008129105374627297,0.09016155153183256,0.5403645182771432
S_CS,19,1,0.6862726495785263,0.07300638118239151,0.012347623612588336,0.11111986146764374,0.5601136941920575
S_CS,19,2,0.6537850603146752,0.08382331033688031,0.01481956419733069,0.12173563240617223,0.5884003226420979
S_CS,19,3,0.6996746565280074,0.05895965000110593,0.006672869395881685,0.08168763306573208,0.5480194736247906
S_CS,20,1,0.6199000059040364,0.0749190301934376,0.013210037928827079,0.11493492910698244,0.6165225008837582
S_CS,20,2,0.7399826290348008,0.06240052913000606,0.007219047948287677,0.0849649807172795,0.5099189847075701
S_CS,20,3,0.7379779335331726,0.0799822277422624,0.01183171773911649,0.1087736996664014,0.5118809104340846
S_CS,21,1,0.6711391610362297,0.08517003239644702,0.01433501088515025,0.11972890580453097,0.5734638950830037
S_CS,21,2,0.6337491928650001,0.06398037584579996,0.007369412286000768,0.08584528109337616,0.6051865886939333
S_CS,21,3,0.7589026809499464,0.07173337568158487,0.010302996323925576,0.1015036764059587,0.49101661789602763
S_CS,22,1,0.7677240341626815,0.06301629885712574,0.00679986746982919,0.08246130892624243,0.4819501694546008
S_CS,22,2,0.6977712493625212,0.06901622871081417,0.010812445088237102,0.1039829076735071,0.5497533543667367
S_CS,22,3,0.7044391905120624,0.07123614019056992,0.012249955145759552,0.11067951547490418,0.5436550464108079
S_CS,23,1,0.6799986133290375,0.0745727406401672,0.010879924485127557,0.10430687649971865,0.5656866506034612
S_CS,23,2,0.65544410580913,0.07836902935428292,0.01381820682742638,0.11755086910536383,0.5869888365129868
S_CS,23,3,0.6537292056540538,0.06848647486996877,0.0114213860628745,0.10687088501025196,0.5884477838737658
S_CS,24,1,0.8008229830866977,0.06080741583003699,0.006747146312902469,0.08214101480321795,0.4462925239271909
S_CS,24,2,0.6577959298930112,0.07315339525279348,0.01163854281620532,0.10788207829016513,0.5849821109290342
S_CS,24,3,0.7711667011317634,0.06688943814388716,0.008912902011668165,0.09440816708139273,0.47836523584833857
S_CS,25,1,0.7529133664096248,0.05951663338617376,0.008312472663900419,0.09117276273043622,0.4970780960677861
S_CS,25,2,0.7652583777457229,0.07183153090105136,0.00919190638840509,0.09587443031593508,0.4845014161530151
S_CS,25,3,0.6347093092292216,0.0792066613569978,0.012929935264006459,0.11370987320372167,0.6043928281927065
S_CS,26,1,0.7404553524772091,0.07130729556608735,0.011181314952009821,0.10574173703892811,0.509455245848731
S_CS,26,2,0.5890043720689522,0.07953202810727289,0.01342456374647881,0.11586441967437117,0.6410894071274675
S_CS,26,3,0.8539626548060142,0.053325209815286656,0.004736770739783484,0.06882420170102581,0.38214832878606947
S_CS,27,1,0.6034494040691932,0.07872499529997919,0.01561570544054068,0.12496281623163219,0.6297226341261737
S_CS,27,2,0.7503559320522774,0.07561490329218475,0.011519906898961818,0.10733082921025915,0.49964394116983213
S_CS,27,3,0.471318839798203,0.07901040197398163,0.01076977946426764,0.10377754797771838,0.7271046418513617
S_CS,28,1,0.49126539898745647,0.08236224721606454,0.012886820895372303,0.11352013431709947,0.7132563361180492
S_CS,28,2,0.8387985818000161,0.059598280680544236,0.00678058373862302,0.08234429997651944,0.4014989641331394
S_CS,28,3,0.653658557900916,0.08115302242519706,0.013870016192755522,0.11777103291028539,0.5885078097180054
S_CS,29,1,0.6756310888645223,0.08173590089848788,0.011486019411212191,0.10717284829289642,0.5695339420398733
S_CS,29,2,0.7745193346623314,0.0752722841523535,0.010239047593535245,0.10118817911957526,0.4748480444707218
S_CS,29,3,0.6496257494430594,0.06236986607734342,0.00954683233665646,0.09770789290869218,0.5919241932519236
S_CS,30,1,0.571225772395926,0.08034008158916219,0.012038990945318188,0.1097223356719961,0.6548085427085341
S_CS,30,2,0.8507362385295882,0.0598793878734431,0.007123520931840126,0.08440095338229377,0.38634668559522
S_CS,30,3,0.6240104676457927,0.0710907972271888,0.01205795413170473,0.10980871610079379,0.6131798531868177
S_CS,31,1,0.638281118865478,0.07402278205339732,0.010343834452325793,0.10170464321910673,0.6014306952047942
S_CS,31,2,0.5814698428004077,0.0795045655425753,0.01478372910789682,0.12158835926147216,0.6469390676096106
S_CS,31,3,0.8186354379351235,0.06695643476789119,0.007651797862368456,0.0874745555139805,0.4258691842160882
S_CS,32,1,0.6843986353563027,0.05910273819114179,0.008572570779884329,0.09258817840245227,0.5617840907712653
S_CS,32,2,0.7429796285833956,0.07537684379053683,0.011387351105618709,0.10671153220537463,0.5069717658968834
S_CS,32,3,0.7186012092329019,0.07390429734182287,0.010067611771812214,0.10033748936370798,0.5304703486219546
S_CS,33,1,0.7117557286344351,0.06015371661849969,0.009173645548432358,0.09577914986275644,0.536883852770378
S_CS,33,2,0.7617988292142788,0.07480016686208175,0.011138132201722262,0.10553734979485822,0.48805857310954104
S_CS,33,3,0.6655197543223348,0.07133652613355138,0.009453347027942916,0.09722832420618446,0.5783426714999207
S_CS,34,1,0.6730701037014323,0.07668853861852992,0.01086330225404457,0.10422716658359552,0.5717778382366422
S_CS,34,2,0.8052011876308385,0.06423353920733316,0.007391425364589269,0.08597339916851764,0.44136018439496955
S_CS,34,3,0.7290975903761818,0.06582646743539257,0.009990055640389224,0.09995026583451003,0.5204828619885752
S_CS,35,1,0.6629588912597815,0.0628721635572296,0.009667991654719283,0.09832594598944513,0.5805524168757017
S_CS,35,2,0.6901214826349673,0.08537500907274069,0.013535052596297305,0.11634024495546373,0.5566673309661999
S_CS,35,3,0.7743464759567782,0.06590463637956927,0.007744077260876834,0.08800043898115983,0.4750300243597469
S_CS,36,1,0.7266009229325889,0.07477422616581236,0.01213754885164729,0.1101705443920801,0.5228757759424423
S_CS,36,2,0.6492022990936942,0.07456121021498087,0.012909298287176062,0.11361909296934236,0.5922817749233095
S_CS,36,3,0.6964699296466562,0.06389698422429231,0.00790329029138898,0.08890045158146824,0.5509356317695777
S_CS,37,1,0.8301258593541404,0.059301003131280894,0.0060273498843890555,0.07763600894165706,0.4121579074163926
S_CS,37,2,0.7604783741173906,0.07148937228273569,0.00830443279788068,0.09112866068301827,0.48940946648242245
S_CS,37,3,0.632498595774097,0.08627504519757925,0.014039746999613469,0.11848943834626556,0.6062189408340051
S_CS,38,1,0.6715242124330776,0.07495418768728536,0.011775439608637054,0.10851469766182392,0.5731280725692316
S_CS,38,2,0.6477071321414599,0.08408391335666214,0.01574042118796209,0.12546083527524474,0.5935426419883748
S_CS,38,3,0.5581057211919466,0.08161688118632598,0.011762424917787208,0.10845471367251498,0.6647512909412463
S_CS,39,1,0.7963579885147984,0.062419055617577275,0.007835427575992142,0.08851795058626324,0.45126711766447325
S_CS,39,2,0.7204453341056115,0.07144436680536445,0.011028665925525939,0.10501745533731971,0.5287292935845228
S_CS,39,3,0.6722430648838554,0.06264649370162938,0.009872562591196227,0.09936076988025117,0.5725005983543987
S_CS,40,1,0.647721542941365,0.07778511864627954,0.01228362398314925,0.11083151168846002,0.5935305022141955
S_CS,40,2,0.7720404437948952,0.05569472009081889,0.007817921253593242,0.08841900957143346,0.4774511034704023
S_CS,40,3,0.7338155548060092,0.07519285500419999,0.010314475981921992,0.1015602086543839,0.5159306592886206
S_CS,41,1,0.796198017303604,0.06080367571316899,0.008885730335624693,0.09426415191166095,0.45144432956500413
S_CS,41,2,0.5958464522162439,0.06868494724131108,0.008434587338268238,0.09184000946356788,0.6357307195532996
S_CS,41,3,0.6161586539885622,0.08846125716399474,0.01648609555642726,0.12839819140637168,0.6195493087813413
S_CS,42,1,0.6397379600990789,0.062485956979978136,0.007189255641628165,0.08478947836629357,0.6002183268619187
S_CS,42,2,0.8197511706268675,0.06003778832741677,0.007446417300857378,0.08629262599351915,0.4245572156649001
S_CS,42,3,0.7168453500672556,0.07804894301864744,0.013210974682590299,0.11493900418304615,0.5321227771226715
S_CS,43,1,0.681908039922333,0.06725511568535279,0.01028173194463809,0.1013988754604216,0.5639964184971985
S_CS,43,2,0.6899731886282618,0.0717364373025419,0.010986624778590758,0.10481710155595202,0.5568005130850169
S_CS,43,3,0.6748902689380938,0.08431145050603983,0.012741977110512845,0.11288036636418596,0.5701839449352343
S_CS,44,1,0.6998582484664575,0.07549826236436995,0.01151030335160422,0.10728608181681452,0.547851943077272
S_CS,44,2,0.5998008643166681,0.09202573240577015,0.01667188609301577,0.12911965804251407,0.6326129430254585
S_CS,44,3,0.6581077610957597,0.06289624618200122,0.009534783054178552,0.09764621372167255,0.5847155196368916
S_CS,45,1,0.7248438370199844,0.07493608717231535,0.010117990106162865,0.10058822051394917,0.524553298512187
S_CS,45,2,0.6311212201209455,0.07558196172138228,0.011439203233402976,0.10695421091945363,0.6073539164927271
S_CS,45,3,0.8431285792669257,0.05508512536707981,0.006363607757767725,0.07977222422477466,0.39606996949159656
S_CS,46,1,0.7043491755751968,0.08479597086981736,0.012161269769057468,0.11027814728701905,0.5437378269210292
S_CS,46,2,0.7735533406006496,0.06260437758982756,0.007358878568116706,0.08578390623022891,0.4758641186298357
S_CS,46,3,0.5095993137936135,0.08190281653716662,0.01665872799248527,0.12906869485853364,0.7002861459477737
S_CS,47,1,0.6390078778843185,0.07624418843641148,0.012739909352673143,0.11287120692485371,0.600826199591597
S_CS,47,2,0.8429766228236631,0.06179309060067977,0.006743140090956012,0.08211662493646467,0.3962617533604989
S_CS,47,3,0.6173264099388003,0.07840456105883488,0.010968403793010327,0.10473014748872612,0.618606167170357
S_CS,48,1,0.7296491343405895,0.06534315961447908,0.007255781573707352,0.08518087563360306,0.5199527532953455
S_CS,48,2,0.8072567255078886,0.06968212466022827,0.008954798843765235,0.09462979892066364,0.43902536884798743
S_CS,48,3,0.6537405394841527,0.08018384200132617,0.012002844279008587,0.10955749302995477,0.5884381535181479
S_CS,49,1,0.6516049929236674,0.09574319313998485,0.0179795673979481,0.13408790921611127,0.5902499530506823
S_CS,49,2,0.726280357950111,0.058799036471118796,0.006348793418684563,0.079679316128369,0.5231822264277419
S_CS,49,3,0.813833731866106,0.0560547491777456,0.006166244292240716,0.07852543723049694,0.4314698924999217
